Montag;monday
Dienstag;tuesday
Mittwoch;wednesday
Donnerstag;thursday
Freitag;friday
Samstag;saturday
Sonntag;sunday
Januar;january
Februar;february
März;march
April;april
Mai;may
Juni;june
Juli;july
August;august
September;september
Oktober;october
November;november
Dezember;december
null;zero
eins;one
zwei;two
drei;three
vier;four
fünf;five
sechs;six
sieben;seven
acht;eight
neun;nine
zehn;ten
elf;eleven	
zwölf;twelve	
zwanzig;twenty	
dreißig;thirty	
vierzig;fourty	
fünfzig;fifty	
sechzig;sixty	
siebzig;seventy	
achtzig;eighty	
neunzig;ninety	
hundert;hundred	
tausend;thousand	
erster;first	
zweiter;second	
dritter;third	
vierter;fourth	
fünfter;fifth	
sechster;sixth	
siebter;seventh	
achter;eighth	
neunter;ninth	
zehnter;tenth	
Million;million
Milliarde;billion
wer;who
wie;how
was;what
warum;why
wieso;why
wo;where
wann;when
wieviel;how much	
wie lange;how long